N1,墳,フン,-,"tombeau, tumulus",
N1,墾,コン,-,défrichage,
N1,壇,"ダン, タン",-,"estrade, tribune, gradins",
N1,壊,"カイ, エ","こわ.す, こわ.れる, やぶ.る","casser, être cassé, détruire",
N1,士,シ,-,"samuraï, guerrier",
N1,壮,ソウ,さかん,"prospérité, robuste, grandiose",
N1,網,モウ,あみ,"filet, réseau",
N1,壱,"イチ, イツ",ひとつ,"un, 1",
N1,緊,キン,し.める,"tendu, solide, dur, fiable",
N1,締,テイ,し.める,"serrer, attacher, lier",
N1,緩,カン,ゆる.い,"lâcher, décompresser, desserrer, modéré",
N1,緯,イ,"よこいと, ぬき","horizontal, latitude",
N1,縁,エン,"ふち, ふちど.る, ゆかり, よすが","affinité, relation, bordure",
N1,縄,ジョウ,"なわ, ただ.す","corde, cordage, fibre",
N1,縛,バク,しば.る,"attacher, nouer, lier, contrainte",
N1,縦,ジュウ,たて,"lâcher, hauteur, vertical",
N1,奇,キ,"く.しき, あや.しい, めずら.しい","étrange, curieux, bizarre",
N1,奈,ナ,いかん,"Nara, comment ?, que ?",
N1,奉,"ホウ, ブ","たてまつ.る, まつ.る, ほう.ずる","obéir, suivre, dédier, consacrer, vouer, offrance",
N1,奏,ソウ,かな.でる,"jouer d'un instrument de musique, concert",
N1,契,ケイ,ちぎ.る,"promesse, serment",
N1,奔,ホン,はし.る,"courir, s'agiter, s'affairer",
N1,繕,ゼン,つくろ.う,"réparer, raccomoder, repriser",
N1,奨,"ショウ, ソウ",すす.める,"encourager, conseiller vivement",
N1,奪,ダツ,うば.う,"dérober, s'approprier, s'emparer",
N1,奮,フン,ふる.う,"excitation, stimulation, déployer son énergie",
N1,奴,ド,"やつ, やっこ","mec, type, esclave",
N1,罰,"バツ, バチ",ばっ.する,"punition, châtiment",
N1,如,"ジョ, ニョ",ごと.し,"ressemblant, similaire, comme si, comme, le même que",
N1,妃,ヒ,きさき,"reine, princesse",
N1,妄,"モウ, ボウ",みだ.りに,"illusion, imprudence, sans autorisation",
N1,妊,ニン,"はら.む, みごも.る","tomber enceinte, grossesse",
